round_index,p0_action,p1_action,winner,p0_cum_wins,p1_cum_wins
1,[A9 B8 C3],[A9 B8 C3],-1,0,0
2,[A10 B9 C1],[A12 B2 C6],1,0,1
3,[A0 B12 C8],[A13 B1 C6],0,1,1
4,[A1 B10 C9],[A1 B10 C9],-1,1,1
5,[A2 B8 C10],[A2 B13 C5],-1,1,1
6,[A6 B6 C8],[A5 B8 C7],0,2,1
7,[A9 B3 C8],[A7 B10 C3],0,3,1
8,[A2 B8 C10],[A0 B10 C10],-1,3,1
9,[A6 B3 C11],[A1 B10 C9],0,4,1
10,[A8 B1 C11],[A7 B13 C0],0,5,1
11,[A9 B0 C11],[A11 B9 C0],1,5,2
12,[A8 B3 C9],[A10 B10 C0],1,5,3
13,[A13 B0 C7],[A10 B9 C1],0,6,3
14,[A11 B0 C9],[A4 B4 C12],1,6,4
15,[A8 B11 C1],[A4 B4 C12],0,7,4
16,[A2 B11 C7],[A3 B5 C12],1,7,5
17,[A6 B7 C7],[A12 B6 C2],0,8,5
18,[A2 B9 C9],[A7 B1 C12],1,8,6
19,[A9 B9 C2],[A9 B1 C10],-1,8,6
20,[A10 B7 C3],[A7 B3 C10],0,9,6
21,[A10 B7 C3],[A12 B4 C4],1,9,7
22,[A13 B7 C0],[A12 B3 C5],0,10,7
23,[A1 B8 C11],[A0 B12 C8],0,11,7
24,[A8 B6 C6],[A4 B12 C4],0,12,7
25,[A10 B10 C0],[A2 B10 C8],-1,12,7
26,[A11 B8 C1],[A11 B8 C1],-1,12,7
27,[A6 B6 C8],[A0 B12 C8],-1,12,7
28,[A5 B6 C9],[A10 B8 C2],1,12,8
29,[A9 B0 C11],[A11 B8 C1],1,12,9
30,[A1 B10 C9],[A10 B10 C0],-1,12,9
31,[A12 B6 C2],[A7 B1 C12],0,13,9
32,[A8 B11 C1],[A12 B8 C0],0,14,9
33,[A8 B9 C3],[A10 B8 C2],0,15,9
34,[A1 B12 C7],[A10 B0 C10],1,15,10
35,[A1 B13 C6],[A10 B0 C10],1,15,11
36,[A1 B13 C6],[A11 B1 C8],1,15,12
37,[A4 B4 C12],[A13 B0 C7],0,16,12
38,[A0 B9 C11],[A10 B7 C3],0,17,12
39,[A12 B3 C5],[A7 B0 C13],0,18,12
40,[A12 B4 C4],[A3 B4 C13],-1,18,12
41,[A8 B8 C4],[A11 B0 C9],1,18,13
42,[A12 B2 C6],[A10 B1 C9],0,19,13
43,[A12 B8 C0],[A2 B10 C8],1,19,14
44,[A12 B2 C6],[A0 B10 C10],1,19,15
45,[A0 B11 C9],[A2 B10 C8],0,20,15
46,[A5 B11 C4],[A3 B10 C7],0,21,15
47,[A5 B11 C4],[A8 B3 C9],1,21,16
48,[A14 B5 C1],[A2 B9 C9],1,21,17
49,[A6 B4 C10],[A0 B13 C7],0,22,17
50,[A9 B1 C10],[A7 B6 C7],0,23,17
